"0.8" "0.85" "0.9" "0.95" "0.99"
"4" 0.297 0.198 0.112 0.051 0.017
"5" 0.223 0.162 0.108 0.055 0.01
"6" 0.223 0.164 0.106 0.049 0.01
"7" 0.22 0.16 0.103 0.05 0.01
"8" 0.218 0.16 0.104 0.051 0.01
"9" 0.215 0.158 0.104 0.051 0.01
"10" 0.214 0.158 0.104 0.051 0.01
"11" 0.213 0.158 0.104 0.051 0.01
"12" 0.213 0.158 0.104 0.051 0.01
"13" 0.212 0.158 0.104 0.051 0.01
"14" 0.211 0.157 0.104 0.052 0.01
"15" 0.211 0.158 0.104 0.052 0.011
"16" 0.21 0.157 0.104 0.052 0.011
"17" 0.21 0.157 0.105 0.052 0.011
"18" 0.209 0.156 0.104 0.052 0.011
"19" 0.207 0.156 0.104 0.052 0.011
"20" 0.208 0.156 0.104 0.052 0.011
"25" 0.205 0.155 0.104 0.052 0.011
"30" 0.203 0.153 0.103 0.053 0.011
