"0.8" "0.85" "0.9" "0.95" "0.99"
"4" 0.6059 0.6432 0.6907 0.7508 0.8263
"5" 0.6473 0.6770 0.7130 0.7671 0.8879
"6" 0.6581 0.6882 0.7281 0.7925 0.9079
"7" 0.6678 0.6998 0.7420 0.8051 0.9281
"8" 0.6750 0.7072 0.7493 0.8132 0.9405
"9" 0.6818 0.7144 0.7564 0.8219 0.9520
"10" 0.6866 0.7193 0.7623 0.8283 0.9594
"11" 0.6906 0.7238 0.7672 0.8342 0.9676
"12" 0.6938 0.7271 0.7709 0.8388 0.9727
"13" 0.6969 0.7302 0.7742 0.8423 0.9783
"14" 0.6992 0.7331 0.7772 0.8454 0.9826
"15" 0.7014 0.7350 0.7795 0.8477 0.9834
"16" 0.7034 0.7374 0.7816 0.8500 0.9876
"17" 0.7051 0.7391 0.7832 0.8526 0.9916
"18" 0.7070 0.7410 0.7859 0.8551 0.9938
"19" 0.7088 0.7428 0.7874 0.8573 0.9971
"20" 0.7099 0.7439 0.7887 0.8585 0.9984
"25" 0.7150 0.7492 0.7943 0.8651 1.0070
"30" 0.7191 0.7536 0.7989 0.8691 1.0126
