"0.8" "0.85" "0.9" "0.95" "0.99"
"4" 0.303 0.322 0.346 0.376 0.414
"5" 0.290 0.303 0.319 0.344 0.398
"6" 0.269 0.281 0.298 0.324 0.371
"7" 0.253 0.265 0.281 0.305 0.351
"8" 0.239 0.251 0.265 0.288 0.333
"9" 0.228 0.239 0.253 0.274 0.318
"10" 0.218 0.228 0.242 0.262 0.304
"11" 0.209 0.219 0.232 0.252 0.292
"12" 0.201 0.210 0.223 0.243 0.281
"13" 0.194 0.203 0.215 0.234 0.272
"14" 0.187 0.196 0.208 0.226 0.263
"15" 0.182 0.190 0.202 0.219 0.254
"16" 0.176 0.185 0.196 0.213 0.247
"17" 0.172 0.180 0.190 0.207 0.241
"18" 0.167 0.175 0.186 0.202 0.235
"19" 0.163 0.171 0.181 0.197 0.229
"20" 0.159 0.167 0.177 0.192 0.224
"25" 0.143 0.150 0.159 0.174 0.202
"30" 0.132 0.138 0.146 0.159 0.185
